timestamp, power.draw.instant [W], clocks.current.sm [MHz]
2023/08/30 15:31:22.017, 77.72 W, 1755 MHz
2023/08/30 15:31:22.020, 77.23 W, 1755 MHz
2023/08/30 15:31:22.024, 77.23 W, 1755 MHz
2023/08/30 15:31:22.039, 77.23 W, 1755 MHz
2023/08/30 15:31:22.042, 77.23 W, 1755 MHz
2023/08/30 15:31:22.046, 77.23 W, 1755 MHz
2023/08/30 15:31:22.051, 77.23 W, 1755 MHz
2023/08/30 15:31:22.054, 77.23 W, 1755 MHz
2023/08/30 15:31:22.057, 77.23 W, 1755 MHz
2023/08/30 15:31:22.061, 77.23 W, 1755 MHz
2023/08/30 15:31:22.064, 77.23 W, 1755 MHz
2023/08/30 15:31:22.070, 77.23 W, 1755 MHz
2023/08/30 15:31:22.074, 77.23 W, 1755 MHz
2023/08/30 15:31:22.077, 77.23 W, 1755 MHz
2023/08/30 15:31:22.080, 77.23 W, 1755 MHz
2023/08/30 15:31:22.084, 77.23 W, 1755 MHz
2023/08/30 15:31:22.090, 77.23 W, 1755 MHz
2023/08/30 15:31:22.094, 77.23 W, 1755 MHz
2023/08/30 15:31:22.098, 77.23 W, 1755 MHz
2023/08/30 15:31:22.101, 77.23 W, 1755 MHz
2023/08/30 15:31:22.105, 77.23 W, 1755 MHz
2023/08/30 15:31:22.110, 77.23 W, 1755 MHz
2023/08/30 15:31:22.114, 77.23 W, 1755 MHz
2023/08/30 15:31:22.117, 77.23 W, 1755 MHz
2023/08/30 15:31:22.121, 77.23 W, 1755 MHz
2023/08/30 15:31:22.125, 77.23 W, 1755 MHz
2023/08/30 15:31:22.142, 77.23 W, 1755 MHz
2023/08/30 15:31:22.145, 77.23 W, 1755 MHz
2023/08/30 15:31:22.150, 77.23 W, 1755 MHz
2023/08/30 15:31:22.154, 77.23 W, 1755 MHz
2023/08/30 15:31:22.157, 77.23 W, 1755 MHz
2023/08/30 15:31:22.160, 77.23 W, 1755 MHz
2023/08/30 15:31:22.164, 77.23 W, 1755 MHz
2023/08/30 15:31:22.170, 77.23 W, 1755 MHz
2023/08/30 15:31:22.174, 77.23 W, 1755 MHz
2023/08/30 15:31:22.177, 77.23 W, 1755 MHz
2023/08/30 15:31:22.181, 77.23 W, 1755 MHz
2023/08/30 15:31:22.184, 77.23 W, 1755 MHz
2023/08/30 15:31:22.190, 77.23 W, 1755 MHz
2023/08/30 15:31:22.194, 77.23 W, 1755 MHz
2023/08/30 15:31:22.198, 77.23 W, 1755 MHz
2023/08/30 15:31:22.201, 77.23 W, 1755 MHz
2023/08/30 15:31:22.206, 77.23 W, 1755 MHz
2023/08/30 15:31:22.212, 77.23 W, 1755 MHz
2023/08/30 15:31:22.216, 77.23 W, 1755 MHz
2023/08/30 15:31:22.219, 77.23 W, 1755 MHz
2023/08/30 15:31:22.222, 77.72 W, 1755 MHz
2023/08/30 15:31:22.227, 77.72 W, 1755 MHz
2023/08/30 15:31:22.239, 77.72 W, 1755 MHz
2023/08/30 15:31:22.242, 77.72 W, 1755 MHz
2023/08/30 15:31:22.246, 77.72 W, 1755 MHz
2023/08/30 15:31:22.251, 77.72 W, 1755 MHz
2023/08/30 15:31:22.254, 77.72 W, 1755 MHz
2023/08/30 15:31:22.258, 77.72 W, 1755 MHz
2023/08/30 15:31:22.261, 77.72 W, 1755 MHz
2023/08/30 15:31:22.264, 77.72 W, 1755 MHz
2023/08/30 15:31:22.270, 77.72 W, 1755 MHz
2023/08/30 15:31:22.274, 77.72 W, 1755 MHz
2023/08/30 15:31:22.277, 77.72 W, 1755 MHz
2023/08/30 15:31:22.281, 77.72 W, 1755 MHz
2023/08/30 15:31:22.284, 77.72 W, 1755 MHz
2023/08/30 15:31:22.290, 77.72 W, 1755 MHz
2023/08/30 15:31:22.293, 77.72 W, 1755 MHz
2023/08/30 15:31:22.297, 77.72 W, 1755 MHz
2023/08/30 15:31:22.301, 77.72 W, 1755 MHz
2023/08/30 15:31:22.305, 77.72 W, 1755 MHz
2023/08/30 15:31:22.310, 77.72 W, 1755 MHz
2023/08/30 15:31:22.314, 77.72 W, 1755 MHz
2023/08/30 15:31:22.317, 77.72 W, 1755 MHz
2023/08/30 15:31:22.321, 77.72 W, 1755 MHz
2023/08/30 15:31:22.325, 77.72 W, 1755 MHz
2023/08/30 15:31:22.340, 77.72 W, 1755 MHz
2023/08/30 15:31:22.343, 77.72 W, 1755 MHz
2023/08/30 15:31:22.346, 77.72 W, 1755 MHz
2023/08/30 15:31:22.352, 77.72 W, 1755 MHz
2023/08/30 15:31:22.355, 77.72 W, 1755 MHz
2023/08/30 15:31:22.359, 77.72 W, 1755 MHz
2023/08/30 15:31:22.362, 77.72 W, 1755 MHz
2023/08/30 15:31:22.366, 77.72 W, 1755 MHz
2023/08/30 15:31:22.371, 77.72 W, 1755 MHz
2023/08/30 15:31:22.374, 77.72 W, 1755 MHz
2023/08/30 15:31:22.377, 77.72 W, 1755 MHz
2023/08/30 15:31:22.381, 77.72 W, 1755 MHz
2023/08/30 15:31:22.384, 77.72 W, 1755 MHz
2023/08/30 15:31:22.390, 77.72 W, 1755 MHz
2023/08/30 15:31:22.394, 77.72 W, 1755 MHz
2023/08/30 15:31:22.397, 77.72 W, 1755 MHz
2023/08/30 15:31:22.401, 77.72 W, 1755 MHz
2023/08/30 15:31:22.404, 77.72 W, 1755 MHz
2023/08/30 15:31:22.412, 77.72 W, 1755 MHz
2023/08/30 15:31:22.416, 77.72 W, 1755 MHz
2023/08/30 15:31:22.419, 77.72 W, 1755 MHz
2023/08/30 15:31:22.422, 77.72 W, 1755 MHz
2023/08/30 15:31:22.427, 77.72 W, 1755 MHz
2023/08/30 15:31:22.439, 77.72 W, 1755 MHz
2023/08/30 15:31:22.442, 77.72 W, 1755 MHz
2023/08/30 15:31:22.446, 77.72 W, 1755 MHz
2023/08/30 15:31:22.451, 77.72 W, 1755 MHz
2023/08/30 15:31:22.454, 77.72 W, 1755 MHz
2023/08/30 15:31:22.458, 77.72 W, 1755 MHz
2023/08/30 15:31:22.461, 77.72 W, 1755 MHz
2023/08/30 15:31:22.465, 77.72 W, 1755 MHz
2023/08/30 15:31:22.470, 77.72 W, 1755 MHz
2023/08/30 15:31:22.473, 77.72 W, 1755 MHz
2023/08/30 15:31:22.477, 77.72 W, 1755 MHz
2023/08/30 15:31:22.480, 77.72 W, 1755 MHz
2023/08/30 15:31:22.484, 77.72 W, 1755 MHz
2023/08/30 15:31:22.490, 77.72 W, 1755 MHz
2023/08/30 15:31:22.494, 77.72 W, 1755 MHz
2023/08/30 15:31:22.497, 77.72 W, 1755 MHz
2023/08/30 15:31:22.500, 77.72 W, 1755 MHz
2023/08/30 15:31:22.504, 77.72 W, 1755 MHz
2023/08/30 15:31:22.510, 77.72 W, 1755 MHz
2023/08/30 15:31:22.514, 77.72 W, 1755 MHz
2023/08/30 15:31:22.517, 77.72 W, 1755 MHz
2023/08/30 15:31:22.521, 77.23 W, 1755 MHz
2023/08/30 15:31:22.524, 77.23 W, 1755 MHz
2023/08/30 15:31:22.539, 77.23 W, 1755 MHz
2023/08/30 15:31:22.543, 77.23 W, 1755 MHz
2023/08/30 15:31:22.549, 77.23 W, 1755 MHz
2023/08/30 15:31:22.553, 77.23 W, 1755 MHz
2023/08/30 15:31:22.556, 77.23 W, 1755 MHz
2023/08/30 15:31:22.559, 77.23 W, 1755 MHz
2023/08/30 15:31:22.563, 77.23 W, 1755 MHz
2023/08/30 15:31:22.566, 77.23 W, 1755 MHz
2023/08/30 15:31:22.571, 77.23 W, 1755 MHz
2023/08/30 15:31:22.575, 77.23 W, 1755 MHz
2023/08/30 15:31:22.578, 77.23 W, 1755 MHz
2023/08/30 15:31:22.582, 77.23 W, 1755 MHz
2023/08/30 15:31:22.585, 77.23 W, 1755 MHz
2023/08/30 15:31:22.590, 77.23 W, 1755 MHz
2023/08/30 15:31:22.594, 77.23 W, 1755 MHz
2023/08/30 15:31:22.598, 77.23 W, 1755 MHz
2023/08/30 15:31:22.601, 77.23 W, 1755 MHz
2023/08/30 15:31:22.604, 77.23 W, 1755 MHz
2023/08/30 15:31:22.610, 77.23 W, 1755 MHz
2023/08/30 15:31:22.614, 77.23 W, 1755 MHz
2023/08/30 15:31:22.617, 77.23 W, 1755 MHz
2023/08/30 15:31:22.620, 77.23 W, 1755 MHz
2023/08/30 15:31:22.625, 77.23 W, 1755 MHz
2023/08/30 15:31:22.639, 77.23 W, 1755 MHz
2023/08/30 15:31:22.642, 77.23 W, 1755 MHz
2023/08/30 15:31:22.646, 77.23 W, 1755 MHz
2023/08/30 15:31:22.651, 77.23 W, 1755 MHz
2023/08/30 15:31:22.654, 77.23 W, 1755 MHz
2023/08/30 15:31:22.657, 77.23 W, 1755 MHz
2023/08/30 15:31:22.661, 77.23 W, 1755 MHz
2023/08/30 15:31:22.664, 77.23 W, 1755 MHz
2023/08/30 15:31:22.670, 77.23 W, 1755 MHz
2023/08/30 15:31:22.674, 77.23 W, 1755 MHz
2023/08/30 15:31:22.677, 77.23 W, 1755 MHz
2023/08/30 15:31:22.680, 77.23 W, 1755 MHz
2023/08/30 15:31:22.684, 77.23 W, 1755 MHz
2023/08/30 15:31:22.690, 77.23 W, 1755 MHz
2023/08/30 15:31:22.694, 77.23 W, 1755 MHz
2023/08/30 15:31:22.697, 77.23 W, 1755 MHz
2023/08/30 15:31:22.701, 77.23 W, 1755 MHz
2023/08/30 15:31:22.704, 77.23 W, 1755 MHz
